carrera,legajo,plan,fecha_ingreso,calidad,localidad_nacimiento,colegio_secundario,titulo_secundario
212,384,2007,05/09/07,A,TANDIL,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER COMERCIAL
206,2991,S95,30/04/02,E,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,5418,S95,30/04/02,A,VERONICA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
212,5418,2007,05/09/07,A,VERONICA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,3285,S95,30/04/02,A,MAR DEL PLATA,SAN PABLO,BACHILLER
206,6106,S95,30/04/02,A,MAR DEL PLATA,PROFESOR JAVIER FROILAN FERRERO,BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES Y HUMANAS
212,6106,2007,26/02/13,A,MAR DEL PLATA,PROFESOR JAVIER FROILAN FERRERO,BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES Y HUMANAS
206,4441,S95,30/04/02,A,VIEDMA,4.117  EJERCITO DE LOS ANDES,
206,5976,S95,30/04/02,A,PEHUAJO,ESCUELA 4-084 LIBERTADOR SIMÓN BOLIVAR,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,3863,S95,30/04/02,A,BALCARCE,COLEGIO SECUNDARIO DR. DIEGO DE SALINAS,
206,2880,S95,30/04/02,A,MAR DEL PLATA,SANTA MARIA,TÉCNICO ELECTRICISTA
206,5260,S95,30/04/02,A,MAR DEL PLATA,ESCUELA DE EDUCACIÓN TÉCNICA Nº5,Bachiller Modalidad Prod. de Bienes y Serv. y Técnico en Inf. Personal y Prof.
212,5260,2007,17/02/10,E,MAR DEL PLATA,ESCUELA DE EDUCACIÓN TÉCNICA Nº5,Bachiller Modalidad Prod. de Bienes y Serv. y Técnico en Inf. Personal y Prof.
206,159,S95,30/04/02,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,1114,S95,30/04/02,A,TANDIL,ESCUELA 4-091 MARTIN M. DE GUEMES,HUMANIDADES Y CIENCIAS SOCIALES
212,1114,2007,30/08/16,A,TANDIL,ESCUELA 4-091 MARTIN M. DE GUEMES,HUMANIDADES Y CIENCIAS SOCIALES
213,1114,2014,30/08/16,A,TANDIL,ESCUELA 4-091 MARTIN M. DE GUEMES,HUMANIDADES Y CIENCIAS SOCIALES
206,2005,S95,30/04/02,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,5766,S95,30/04/02,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,3916,S95,30/04/02,A,Ciudad Autónoma de Buenos Aires,ESCUELA Nº 4-055 PRESBITERO CONSTANTINO SPAGNOLO,BACHILLER EN GESTION Y ADMINISTRACION
206,3380,S95,15/04/02,A,TANDIL,"ESCUELA DE EDUCACION AGRARIA Nº 1 ""DR. RAMÓN SANTAMARINA""",Bachiller Modalidad Ciencias Naturales
209,2139,1998,15/04/02,E,TRES ARROYOS,COLEGIO BERNARDO O'HIGGINS COQUIMBO,Bachiller Modalidad Ciencias Naturales
206,5922,S95,15/04/02,E,ADOLFO GONZALES CHAVES,ABEL AYERZA,
206,5721,S95,15/04/02,N,LA PLATA,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,
206,5228,S95,15/04/02,E,GENERAL MADARIAGA,ACADEMIA IRIS,TÉCNICO ELECTRONICO
212,5228,2007,26/03/10,A,GENERAL MADARIAGA,ACADEMIA IRIS,TÉCNICO ELECTRONICO
206,1317,S95,15/04/02,A,TANDIL,CACIQUE ANGACO,PERITO MERCANTIL
206,4581,S95,15/04/02,A,BALCARCE,BACHILLERATO TÉCNICO ULLUM,BACHILLER EN CIENCIAS BIOLOGICAS
212,4581,2007,24/02/10,A,BALCARCE,BACHILLERATO TÉCNICO ULLUM,BACHILLER EN CIENCIAS BIOLOGICAS
206,3213,S95,15/04/02,N,TANDIL,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,3701,S95,15/04/02,A,TANDIL,ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO,BACHILLER CONTABLE
206,649,S95,15/04/02,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
206,126,S95,15/04/02,E,Lima,COLEGIO SAN JOSE,Bachiller Modalidad Economía y Gestión de las Organizaciones
209,897,1998,15/04/02,N,TANDIL,ADORATRICES,BACHILLER PEDAGOGICO
206,1593,S95,15/04/02,A,MENDOZA,AGROINDUSTRIAL 25 DE MAYO,
